Service,Liquid,Q,H,Type,Stages,Qty,Min. T,T,Max. T,Pv,Density,Viscosity,Corrosive,Erosive,Hazardous,Flammable,Suspended Solids,Min. Ps,Max. Ps,Pd,NPSHA,NPSHR,BEP,Qmin,Efficiency,Speed,Power,Rated dia.,Forced Lubrication,Seal Plan,MAWP,Material,NACE,Inspection Class,Exp. Proof,Project,Tag,Vendor,Model,GA
Debutanizer Product Pumps,Butane (C4),28,308,BB5,11,2,46,46,46,5.3,535,0,No ,No,Yes,,No,5.54,8.33,22,3.6,2.3,35,10,46,2950,45,234,No,11 + 52,40,S-1(LCB),No,,Ex de IIB T3 ,Bushehr Gas Sweetening,05-320-P-2-AB,DeepBlue,DCS 25-80X5-G,GA\Bushehr-Gas-Sweetening\05-320-P-2.pdf
Hp Hexane Pump,Hexane,120,230,OH2,1,2,40,40,48,0.5,642,0.26,No,No,No,Yes,No,,,14.48,7.8,4.1,126.7,45,51.3,2975,132,439,No,11 + 52,40,S-5,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-708-AB,IIP,IOH2-50-450,GA\Kangan-HDPE\40-P-708-AB.pdf
Deethanizer Reflux Pump ,C2 Minus Hydrocarbons ,510,230,OH2,1,2,-31,-31,-31,25.9,439,0.07,No,,,,No,25.21,25.21,35.11,7.9,6.6,,80,71.6,2980,250,435,No,11 + 52,60,LTCS,,,Ex n IIB T3,Marun,10-P-3171-AB,KSB,RPH 200-450 B ,GA\Marun\10-P-3171-AB.pdf
Lean Solvent Pump ,Lean MEA,165,222,OH2,1,2,42,42,42,0.08,1011,1027,No,,,,No,0.08,0.08,22.1,19.7,3.3,,70,64,2980,160,398,No,11 + 62,47,A-8,,,Ex n IIB T3,Marun,10-P-2071-AB,Ruhrpumpen,SVN8 4x16 ,GA\Marun\10-P-2071-AB.pdf
Oil Delivery Pumps,Produced Oil,412,387,BB2,2,4,60,60,60,0.88,878,11,No,No,No,,,0.48,2.5,4.31,4.6,3.9,500,180,72,2980,630,378,No,11 + 52,50,S-6,No,,Ex d IIB T4,Arvandan,0220-PA-001-A-D,Deep Blue,APIFLO-500HDD-C420X2,GA\Arvandan\0220-PA-001-A-D.pdf
Oil Delivery Pumps For Strategic Pump Station,Produced Oil,412,408,BB2,2,4,85,85,85,0.88,400,2.24,No,No,No,,,0.85,3.8,6.8,4.6,3.9,500,180,72,2980,630,338,No,11 + 52,40,S-6,No,,Ex d IIB T4,Arvandan,0221-PA-002-A-D,Deep Blue,APIFLO-500HDD-C420X2-M,GA\Arvandan\0221-PA-002-A-D.pdf
Mother Liquor Hexane,Mother Liquor Transfer Pump,170,190,OH2,1,2,67,67,67,0.85,631,0.22,No,No,No,Yes,Yes,0.25,0.25,12.01,6.3,4.5,175,60,57.6,2975,132,410,No,32 + 52,40,A-7,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-301-AB,IIP,IOH2-80-450,GA\Kangan-HDPE\40-P-301-AB.pdf
Wash Water Transfer Pumps,Raw Water,60,189,OH2,1,2,20,20,20,0.02,998,1.02,No,No,No,,,1.01,1.1,20,7,1.8,71,22,44,2980,7.5,382,No,11,40,S-8,No,,Ex d IIB T4,Arvandan,0530-PA-010-AB,Deep Blue,APIFLO-P 50K3-400,GA\Arvandan\0530-PA-010-AB.pdf
Butane Feed Pumps,Butane,55.7,188,OH2,1,4,60,60,60,7.5,517,0.11,No,No,Yes,,No,7.68,12.36,17.22,2.56,1.2,67,20.3,41.5,2960,55,388,No,11 + 53 + 61,48,LTCS,,,Ex n IIA T3,SP 09-10,107-P-103-203-AB,KSB,RPHI / 50-450,GA\SP-09-10\107-P-103-203-AB.pdf
Butane Feed Pumps,Butane,55.7,188,OH2,1,4,60,60,60,7.5,517,0.11,No,No,Yes,,No,6.68,11.36,16.22,7,1.4,87,25,45,2950,45,380,No,11 + 53 + 61,40,,No,,Ex n IIB T3,SP 20-21,107-P-103-203-AB,IIP,OHC 50-400 ,GA\SP-20-21\107-P-103-203-AB.pdf
